method,header_name,header_value,header_name_length,header_value_length,num_letters_in_value,num_numbers_in_value,num_special_chars_in_value,value_is_uuid,value_is_base64,value_is_jwt,consistency_across_visits,stored_in_cookies_or_local,host_domains,destination_domains
REQUEST,x-spot-id,sp_7mUJW9YQ,9,11,8,2,1,False,False,False,TRUE,TRUE,{'jalopnik.com'},{'spot.im'}
RESPONSE,6si-ipv6,2607:b400:c:a180:72b5:e8ff:fed0:aeae,8,36,14,15,7,False,False,False,TRUE,TRUE,"{'dell.com', 'zendesk.com'}",{'6sc.co'}
REQUEST,x-spot-id,sp_CluSiKko,9,11,10,0,1,False,False,False,TRUE,TRUE,{'thedailybeast.com'},{'spot.im'}
REQUEST,x-spot-id,sp_f7EV0YIq,9,11,8,2,1,False,False,False,TRUE,TRUE,{'kooora.com'},{'spot.im'}
RESPONSE,x-geoip2-city-name,Christiansburg,18,14,14,0,0,False,True,False,TRUE,TRUE,{'flashscore.com'},{'flashscore.ninja'}
RESPONSE,x-advertisable-eid,YNJJXL3HSZGX5HCII2ACSH,18,22,19,3,0,False,True,False,TRUE,TRUE,{'jcpenney.com'},{'adroll.com'}
RESPONSE,x-pixel-eid,CIX4XXOAAZFJBAPNGYRAY7,11,22,20,2,0,False,True,False,TRUE,TRUE,{'jcpenney.com'},{'adroll.com'}
REQUEST,MOE-APPKEY,SPJUIVHAUP6GA3T6R89P77XZ,10,24,17,7,0,False,True,False,TRUE,TRUE,"{'t-mobile.com', 'sprint.com'}",{'moengage.com'}
REQUEST,MOE-APPKEY,OE7H4UHSQ08XM0F27PQ46A3N,10,24,14,10,0,False,True,False,TRUE,TRUE,{'olx.co.id'},{'moengage.com'}
REQUEST,x-spot-id,sp_lndcYtHZ,9,11,10,0,1,False,False,False,TRUE,TRUE,{'goal.com'},{'spot.im'}
REQUEST,x-spot-id,sp_Sx8YukwE,9,11,9,1,1,False,False,False,TRUE,TRUE,{'nypost.com'},{'spot.im'}
REQUEST,MOE-APPKEY,34YG51ONK78SSJ5W63AC9BY8,10,24,13,11,0,False,True,False,TRUE,TRUE,{'manoramaonline.com'},{'moengage.com'}
